dataset	model	crossvalidation	n_cells	f1_macro_median	f1_weighted_median	runtime_seconds
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	dgcytof	num-1	1536957	0.9158388702710912	0.9549893840221627	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	dgcytof	num-2	1356644	0.8479217147344879	0.929751581721265	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	dgcytof	num-3	1408466	0.9382572189832162	0.9636644980503399	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	dgcytof	num-4	1421911	0.8387496217296658	0.9271616677410678	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	dgcytof	num-5	1404771	0.8497424707616187	0.9342219676352588	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	random	num-1	1536957	0.14891320887780285	0.18387785204628423	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	random	num-2	1356644	0.1483341838655863	0.1845332686132491	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	random	num-3	1408466	0.14722468411883086	0.18688807886351433	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	random	num-4	1421911	0.1460036455545438	0.18646127052572387	NA
dataset_name-FR-FCM-Z2KP_healthy_final_seed-42	random	num-5	1404771	0.15018658163162432	0.18278141819679647	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cyanno	num-1	3804850	0.9809393412536619	0.9912178297053347	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cyanno	num-2	3956437	0.9700911130116742	0.985730319131732	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cyanno	num-3	3871161	0.9735910115130094	0.9882313981441035	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cyanno	num-4	3907351	0.9829736331737258	0.991668420136791	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cyanno	num-5	3978798	0.9811728522767509	0.9909160049341356	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cygate	num-1	3768363	0.9297200804424244	0.9593100936963966	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cygate	num-2	3789323	0.816505559291356	0.9211055884070742	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cygate	num-3	3586312	0.8058028364552285	0.9187567632032668	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cygate	num-4	3674391	0.8802242447733916	0.947677484792528	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	cygate	num-5	3694040	0.809370864683001	0.9175201195670364	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	dgcytof	num-1	3804850	0.9122809295563763	0.9508779877589664	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	dgcytof	num-2	3956437	0.7848305812181944	0.8992571946737794	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	dgcytof	num-3	3871161	0.9064550157859507	0.9502194612710967	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	dgcytof	num-4	3907351	0.9311439658796941	0.9613977397678037	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	dgcytof	num-5	3978798	0.7887116122358445	0.9160481174372046	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	random	num-1	3804850	0.147441794293401	0.18451634437525719	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	random	num-2	3956437	0.14712256986281658	0.18521838489040424	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	random	num-3	3871161	0.14812223122414578	0.18575912395669564	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	random	num-4	3907351	0.1469697583516211	0.18630895614271886	NA
dataset_name-FR-FCM-Z2KP_virus_final_seed-42	random	num-5	3978798	0.14739876777542274	0.18533474361483424	NA
dataset_name-FR-FCM-Z3YR_seed-42	cyanno	num-1	16665728	0.9136515894147347	0.9951528613153331	NA
dataset_name-FR-FCM-Z3YR_seed-42	cyanno	num-2	16671781	0.9009516537435034	0.9952053801251044	NA
dataset_name-FR-FCM-Z3YR_seed-42	cyanno	num-3	16028386	0.9535125282025836	0.9991008830085156	NA
dataset_name-FR-FCM-Z3YR_seed-42	cyanno	num-4	16163956	0.9866684641894478	0.9989607957561369	NA
dataset_name-FR-FCM-Z3YR_seed-42	cyanno	num-5	16114380	0.9912528615022173	0.9991947777944096	NA
dataset_name-FR-FCM-Z3YR_seed-42	cygate	num-1	16209847	0.7459621285722075	0.9761185196226131	NA
dataset_name-FR-FCM-Z3YR_seed-42	cygate	num-2	16287863	0.7322986172348122	0.9781135843454628	NA
dataset_name-FR-FCM-Z3YR_seed-42	cygate	num-3	15674629	0.7647662035407885	0.9817060430019673	NA
dataset_name-FR-FCM-Z3YR_seed-42	cygate	num-4	15734492	0.7472936514604542	0.9807790440710833	NA
dataset_name-FR-FCM-Z3YR_seed-42	cygate	num-5	15536797	0.7500601563450063	0.974142032425335	NA
dataset_name-FR-FCM-Z3YR_seed-42	dgcytof	num-1	16665728	0.8536317760992778	0.9861331377576971	NA
dataset_name-FR-FCM-Z3YR_seed-42	dgcytof	num-2	16671781	0.8480242341921259	0.9856670957577099	NA
dataset_name-FR-FCM-Z3YR_seed-42	dgcytof	num-3	16028386	0.9355738085764058	0.9905713238918402	NA
dataset_name-FR-FCM-Z3YR_seed-42	dgcytof	num-4	16163956	0.937459404537914	0.9917595682261604	NA
dataset_name-FR-FCM-Z3YR_seed-42	dgcytof	num-5	16114380	0.9347144923834956	0.9922117588103959	NA
dataset_name-FR-FCM-Z3YR_seed-42	random	num-1	16665728	0.01680248052773139	0.05518163394040077	NA
dataset_name-FR-FCM-Z3YR_seed-42	random	num-2	16671781	0.015908660186087404	0.05353841719451713	NA
dataset_name-FR-FCM-Z3YR_seed-42	random	num-3	16028386	0.015982471875704833	0.053632463233769585	NA
dataset_name-FR-FCM-Z3YR_seed-42	random	num-4	16163956	0.015941446213982628	0.05365852375049843	NA
dataset_name-FR-FCM-Z3YR_seed-42	random	num-5	16114380	0.015944587323986882	0.05389838771307494	NA
dataset_name-Levine_seed-420_sub-sampling-10000	cyanno	num-1	191351	0.18014387606993973	0.5532593915992282	NA
dataset_name-Levine_seed-420_sub-sampling-10000	cyanno	num-2	74276	0.2649772894184862	0.5343433538288219	NA
dataset_name-Levine_seed-420_sub-sampling-10000	cygate	num-1	181711	0.4074272073536455	0.2552764545224697	NA
dataset_name-Levine_seed-420_sub-sampling-10000	cygate	num-2	73320	0.4801757736904287	0.3236721759342086	NA
dataset_name-Levine_seed-420_sub-sampling-10000	dgcytof	num-1	191351	0.23131216257051282	0.5412238500284262	NA
dataset_name-Levine_seed-420_sub-sampling-10000	dgcytof	num-2	74276	0.3293218336693703	0.49794242902991126	NA
dataset_name-Levine_seed-420_sub-sampling-10000	random	num-1	191351	0.03481316169198019	0.0990090804866064	NA
dataset_name-Levine_seed-420_sub-sampling-10000	random	num-2	74276	0.037675305656082556	0.09556086911510696	NA
dataset_name-Levine_seed-420_sub-sampling-100000	cyanno	num-1	191351	0.15515848243900512	0.5529076518509579	NA
dataset_name-Levine_seed-420_sub-sampling-100000	cyanno	num-2	74276	0.30824987393971964	0.5500016878643779	NA
dataset_name-Levine_seed-420_sub-sampling-100000	cygate	num-1	182013	0.4368996117377741	0.25535007545215005	NA
dataset_name-Levine_seed-420_sub-sampling-100000	cygate	num-2	72943	0.5181911411335106	0.3083813688199342	NA
dataset_name-Levine_seed-420_sub-sampling-100000	dgcytof	num-1	191351	0.17873721654433053	0.5372545466860604	NA
dataset_name-Levine_seed-420_sub-sampling-100000	dgcytof	num-2	74276	0.41585955600356733	0.5379933426024092	NA
dataset_name-Levine_seed-420_sub-sampling-100000	random	num-1	191351	0.03481316169198019	0.0990090804866064	NA
dataset_name-Levine_seed-420_sub-sampling-100000	random	num-2	74276	0.037675305656082556	0.09556086911510696	NA
dataset_name-Levine_seed-420_sub-sampling-50000	cyanno	num-1	191351	0.16232090278283867	0.5485358108062927	NA
dataset_name-Levine_seed-420_sub-sampling-50000	cyanno	num-2	74276	0.2812889588686466	0.5460937563190413	NA
dataset_name-Levine_seed-420_sub-sampling-50000	cygate	num-1	182105	0.40633537137616316	0.25341881108000397	NA
dataset_name-Levine_seed-420_sub-sampling-50000	cygate	num-2	73294	0.5092612963610752	0.32033210516818084	NA
dataset_name-Levine_seed-420_sub-sampling-50000	dgcytof	num-1	191351	0.2592324109690331	0.5304503218354302	NA
dataset_name-Levine_seed-420_sub-sampling-50000	dgcytof	num-2	74276	0.2911004748766149	0.5094108209513899	NA
dataset_name-Levine_seed-420_sub-sampling-50000	random	num-1	191351	0.03481316169198019	0.0990090804866064	NA
dataset_name-Levine_seed-420_sub-sampling-50000	random	num-2	74276	0.037675305656082556	0.09556086911510696	NA
dataset_name-Samusik_seed-42	cyanno	num-1	755903	0.694297771437752	0.9184468581280251	NA
dataset_name-Samusik_seed-42	cyanno	num-2	760931	0.7216283007603421	0.9222162732382151	NA
dataset_name-Samusik_seed-42	cyanno	num-3	757088	0.7314594304459873	0.9221528748757174	NA
dataset_name-Samusik_seed-42	cyanno	num-4	758138	0.7214990871242778	0.9217307892078866	NA
dataset_name-Samusik_seed-42	cyanno	num-5	764362	0.685093171943417	0.9189680863751108	NA
dataset_name-Samusik_seed-42	cygate	num-1	733815	0.5812737140457689	0.6605869064487871	NA
dataset_name-Samusik_seed-42	cygate	num-2	706227	0.5951092854787668	0.6968018448347666	NA
dataset_name-Samusik_seed-42	cygate	num-3	733150	0.585442463132903	0.658520037645676	NA
dataset_name-Samusik_seed-42	cygate	num-4	721569	0.5846910331473625	0.6759013678216803	NA
dataset_name-Samusik_seed-42	cygate	num-5	738262	0.6072417913772075	0.6599125403614406	NA
dataset_name-Samusik_seed-42	dgcytof	num-1	755903	0.7203525115027739	0.895704032110796	NA
dataset_name-Samusik_seed-42	dgcytof	num-2	760931	0.7438270700284058	0.8862888700979179	NA
dataset_name-Samusik_seed-42	dgcytof	num-3	757088	0.7550682311224017	0.8915373228887249	NA
dataset_name-Samusik_seed-42	dgcytof	num-4	758138	0.7429506196479728	0.8870710963337928	NA
dataset_name-Samusik_seed-42	dgcytof	num-5	764362	0.7437050771090314	0.8904059023294904	NA
dataset_name-Samusik_seed-42	random	num-1	755903	0.021681336066695218	0.05776677325500845	NA
dataset_name-Samusik_seed-42	random	num-2	760931	0.021929229983350687	0.058287293256670515	NA
dataset_name-Samusik_seed-42	random	num-3	757088	0.022031894979520416	0.05789548395456759	NA
dataset_name-Samusik_seed-42	random	num-4	758138	0.021686999853151586	0.0576146482598678	NA
dataset_name-Samusik_seed-42	random	num-5	764362	0.02206223952589889	0.05823547005244366	NA
dataset_name-Transformed_seed-42	cyanno	num-1	165885	0.8220793346971004	0.8997641189333179	NA
dataset_name-Transformed_seed-42	cyanno	num-2	160829	0.8826733879660449	0.9201828760518811	NA
dataset_name-Transformed_seed-42	cyanno	num-3	163357	0.8710526976366735	0.9188013847385134	NA
dataset_name-Transformed_seed-42	cyanno	num-4	163801	0.8466264180434842	0.8964310607556829	NA
dataset_name-Transformed_seed-42	cyanno	num-5	161138	0.8593084080839367	0.9118739249673021	NA
dataset_name-Transformed_seed-42	cygate	num-1	129918	0.8293427749121444	0.856712408340754	NA
dataset_name-Transformed_seed-42	cygate	num-2	158779	0.7782725686775005	0.8305465788724888	NA
dataset_name-Transformed_seed-42	cygate	num-3	136527	0.8238803290284011	0.8414596932522723	NA
dataset_name-Transformed_seed-42	cygate	num-4	142677	0.843193240149426	0.8708769551819157	NA
dataset_name-Transformed_seed-42	cygate	num-5	153417	0.8066204049404703	0.8442663758708404	NA
dataset_name-Transformed_seed-42	dgcytof	num-1	165885	0.7880688218442984	0.851265691114048	NA
dataset_name-Transformed_seed-42	dgcytof	num-2	160829	0.8154789115814325	0.8656288432332973	NA
dataset_name-Transformed_seed-42	dgcytof	num-3	163357	0.8271331336279544	0.8670283074781122	NA
dataset_name-Transformed_seed-42	dgcytof	num-4	163801	0.7956206895305227	0.8628666160928661	NA
dataset_name-Transformed_seed-42	dgcytof	num-5	161138	0.8326553566022943	0.8737551369297565	NA
dataset_name-Transformed_seed-42	random	num-1	165885	0.09509349867047855	0.15458314230640996	NA
dataset_name-Transformed_seed-42	random	num-2	160829	0.09582462084815463	0.15509660367184727	NA
dataset_name-Transformed_seed-42	random	num-3	163357	0.09474438994271486	0.1564485139505178	NA
dataset_name-Transformed_seed-42	random	num-4	163801	0.09445415498198906	0.1529068414325476	NA
dataset_name-Transformed_seed-42	random	num-5	161138	0.09520301646714067	0.1543552368834257	NA
